@timestamp,node_description,node_name,error_code,error_message,error_color,requires_ui
2025-05-01T00:00:02.488-05:00,52 - IAU/4,52_4_IAU,5CE3,Safety shield open,Red,User Error
2025-05-01T00:00:02.501-05:00,64 - I1K/2,64_2_I1K,2440,No Ack Received,Red,Analyzer Error
2025-05-01T00:00:08.330-05:00,163 - UTC/28,163_28_UTC(SLAVE),S0033,CANoE: Timeout receiving answer,Red,Yes
2025-05-01T00:01:03.085-05:00,52 - IAU/4,52_4_IAU,89B2,Robot Move Error - Axis Z,Red,Yes
2025-05-01T00:01:03.444-05:00,52 - IAU/4,52_4_IAU,5C0F,Initialization in progress,Red,No
2025-05-01T00:05:28.616-05:00,60 - IOM/9,60_9_MIOM,M21BA,Carrier Runaway Error,Red,Yes
2025-05-01T00:05:56.296-05:00,60 - IOM/9,60_9_MIOM,M21BA,Carrier Runaway Error,Red,Yes
2025-05-01T00:06:34.364-05:00,60 - IOM/9,60_9_MIOM,M21BA,Carrier Runaway Error,Red,Yes
2025-05-01T00:06:54.733-05:00,60 - IOM/9,60_9_MIOM,M21BA,Carrier Runaway Error,Red,Yes
2025-05-01T00:13:17.748-05:00,27 - CO8/1,27_1_CO8,5ECF,Robot Not Homed,Red,No
2025-05-01T00:16:26.763-05:00,126 - ALQ/1,126_1_ALQ,M01D3,Too Many Labelling Failure,Red,Yes
2025-05-01T00:19:45.957-05:00,50 - IAU/2,50_2_IAU,5C82,Rack stuck between Unload Position and Analyzer Pre-Input Position,Red,No
2025-05-01T00:20:57.035-05:00,17 - STL/1,17_1_STL,38D2,TRANSFER OUT Error,Red,Analyzer Error
2025-05-01T00:23:46.756-05:00,50 - IAU/2,50_2_IAU,5C80,Unload Position - Rack not correctly positioned,Red,No
2025-05-01T00:27:23.289-05:00,126 - ALQ/1,126_1_ALQ,M01B5,Pinch Roller Move Failure,Red,Yes
2025-05-01T00:31:38.738-05:00,107 - FIM/6,107_6_BIM,12D4,Diverter jam error,Red,Yes
2025-05-01T00:33:11.606-05:00,52 - IAU/4,52_4_IAU,5C0F,Initialization in progress,Red,No
2025-05-01T00:36:16.160-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-01T00:36:39.607-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-01T00:36:43.474-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-01T00:39:12.028-05:00,88 - DSM/1,88_1_DSM,787,Foil Sensor Obstruction,Red,Yes
2025-05-01T00:40:32.955-05:00,88 - DSM/1,88_1_DSM,787,Foil Sensor Obstruction,Red,Yes
2025-05-01T00:41:45.079-05:00,104 - FIM/3,104_3_BIM,12A7,Gripper Close Fault,Red,Yes
2025-05-01T00:42:30.495-05:00,104 - FIM/3,104_3_BIM,12A7,Gripper Close Fault,Red,Yes
2025-05-01T00:42:34.349-05:00,104 - FIM/3,104_3_BIM,12A7,Gripper Close Fault,Red,Yes
2025-05-01T00:44:17.078-05:00,17 - STL/1,17_1_STL,38D2,TRANSFER OUT Error,Red,Analyzer Error
2025-05-01T00:45:55.230-05:00,17 - STL/1,17_1_STL,38A1,Analyzer Error Status,Red,Analyzer Error
2025-05-01T00:46:16.868-05:00,17 - STL/1,17_1_STL,S0066,Diagnostic Macro Not Found,Red,No
2025-05-01T00:46:35.131-05:00,17 - STL/1,17_1_STL,3811,Analyzer Initializing,Red,Analyzer Error
2025-05-01T00:46:43.899-05:00,17 - STL/1,17_1_STL,S0066,Diagnostic Macro Not Found,Red,No
2025-05-01T00:46:43.901-05:00,17 - STL/1,17_1_STL,38B5,Analyzer Not Ready During Initialization,Red,Analyzer Error
2025-05-01T00:47:52.748-05:00,103 - FIM/2,103_2_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-01T00:48:08.148-05:00,107 - FIM/6,107_6_BIM,12D4,Diverter jam error,Red,Yes
2025-05-01T00:48:12.553-05:00,103 - FIM/2,103_2_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-01T00:48:16.770-05:00,103 - FIM/2,103_2_BIM,12C9,Sample Tube Presence Sensor Error,Red,Yes
2025-05-01T00:48:24.011-05:00,103 - FIM/2,103_2_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-01T00:48:58.664-05:00,103 - FIM/2,103_2_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-01T00:49:02.297-05:00,103 - FIM/2,103_2_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-01T00:51:37.643-05:00,17 - STL/1,17_1_STL,S0066,Diagnostic Macro Not Found,Red,No
2025-05-01T00:52:55.223-05:00,17 - STL/1,17_1_STL,38D6,TRANSFER IN Error,Red,Analyzer Error
2025-05-01T00:57:17.999-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
2025-05-01T00:57:47.683-05:00,105 - FIM/4,105_4_BIM,12C1,Sample Tube Missing In Gripper During Loading,Red,Yes
